Tên thuốc,Link,Ký tự,Trang
"Thuốc tránh thai hằng ngày Avalo Day 0,03mg Hóa Dược (1 vỉ x 28 viên)",https://nhathuoclongchau.com.vn/thuoc/avalo-day-0-03-mg-hoa-duoc-1-x28.html,A,1
"Siro Aerius 60ml Organon giảm viêm mũi dị ứng, hắt hơi, sổ mũi, ngứa mũi, sung huyết",https://nhathuoclongchau.com.vn/thuoc/aerius-organon-60-ml.html,A,1
"Thuốc Aerius 5mg Organon giảm viêm mũi dị ứng, mày đay (1 vỉ x 10 viên)",https://nhathuoclongchau.com.vn/thuoc/aerius-5-mg-organon-1-x10.html,A,1
"Kem bôi Axcel Hydrocortisone Cream điều trị dị ứng ngoài da, viêm da tiếp xúc (15g)",https://nhathuoclongchau.com.vn/thuoc/axcel-hydrocortisone-cream-15g-4610.html,A,1
"Thuốc Alaxan United giảm các cơn đau cơ xương, nhức đầu, đau bụng kinh, nhức răng (10 vỉ x 10 viên)",https://nhathuoclongchau.com.vn/thuoc/alaxan-325mg-4827.html,A,1
Kem bôi da Acyclovir Stada Cream điều trị nhiễm virus Herpes simplex (2g),https://nhathuoclongchau.com.vn/thuoc/kem-boi-acyclovir-stada-cream-dieu-tri-da-nhiem-virus-herpes-simplex-tuyp-2g-4857.html,A,1
Kem bôi da Acyclovir Stella Cream (5g) điều trị nhiễm virus Herpes simplex,https://nhathuoclongchau.com.vn/thuoc/kem-boi-acyclovir-stella-cream-dieu-tri-da-nhiem-virus-herpes-simplex-tuyp-5g-4858.html,A,1
"Thuốc Acemuc 200mg Sanofi long đàm, tiêu nhầy, giảm ho (3 vỉ x 10 viên)",https://nhathuoclongchau.com.vn/thuoc/acemuc-200mg-4881.html,A,1
"Thuốc cốm Acemuc Kids 200mg Sanofi long đàm, tiêu nhầy, giảm ho (30 gói x 1g)",https://nhathuoclongchau.com.vn/thuoc/acemuc-200mg-4882.html,A,1
Thuốc Alzental 400mg Shinpoong Daewoo điều trị nhiễm một hoặc nhiều loại ký sinh trùng đường ruột (1 vỉ x 1 viên),https://nhathuoclongchau.com.vn/thuoc/alzental-400mg-shinpoong-1x1-thuoc-tri-giun-21870.html,A,1
Hỗn dịch uống A.T Sucralfate 1000mg An Thiên điều trị loét dạ dày tá tràng (20 gói x 5g),https://nhathuoclongchau.com.vn/thuoc/sucralfate-1000mg-an-thien-20-goi-x-5g-huong-dau-29339.html,A,1
"Thuốc A.T Silymarin 117mg An Thiên hỗ trợ điều trị bệnh viêm gan mạn tính, xơ gan (3 vỉ x 10 viên)",https://nhathuoclongchau.com.vn/thuoc/at-silymarin-v-117mg-29647.html,A,2
Thuốc Azoltel 400mg Stella điều trị nhiễm một hoặc nhiều loại ký sinh trùng đường ruột (1 viên),https://nhathuoclongchau.com.vn/thuoc/azoltel-400mg-stella-1x1-31659.html,A,2
"Hỗn dịch uống Akitykity-New 200mg Pharbaco vị ngọt hương cam diệt các loại giun sán, ấu trùng và trứng (2 gói x 1.5g)",https://nhathuoclongchau.com.vn/thuoc/thuoc-akitykity-new-pharbaco-hop-2-goi-36905.html,A,2
"Cao lỏng Astemix An Thiên Pharma hỗ trợ điều trị ho, viêm họng, viêm phế quản, suyễn (90ml)",https://nhathuoclongchau.com.vn/thuoc/astemix-an-thien-90ml-36853.html,A,2
Thuốc Astemix An Thiên hỗ trợ điều trị ho (60ml),https://nhathuoclongchau.com.vn/thuoc/astemix-an-thien-60ml-35085.html,A,2
Thuốc Anbaliv Phương Đông hỗ trợ điều trị các bệnh về gan (6 vỉ x 10 viên),https://nhathuoclongchau.com.vn/thuoc/anbaliv-400-phuong-dong-pharma-6-vi-x-10-vien-34083.html,A,2
Siro Ambroco United hỗ trợ tan đàm cho trẻ (60ml),https://nhathuoclongchau.com.vn/thuoc/ambroco-60ml-4775.html,A,2
"Thuốc cốm Acemuc Kids 100mg Sanofi long đàm, tiêu nhầy, giảm ho (30 gói x 0.5g)",https://nhathuoclongchau.com.vn/thuoc/acemuc-100mg-4883.html,A,2
"Dung dịch uống A.T Desloratadin 2.5mg An Thiên giảm viêm mũi dị ứng, nổi mày đay mạn tính (30 ống x 5ml)",https://nhathuoclongchau.com.vn/thuoc/at-desloratadin-30-ong-x-5ml-14956.html,A,2
Viên nhai AIR-X 120 chống đầy hơi và chướng bụng (10 vỉ x 10 viên),https://nhathuoclongchau.com.vn/thuoc/air-x-120-rx-manufacturing-10x10-18797.html,A,2
"Siro A.T Ibuprofen 100mg An Thiên giảm đau, kháng viêm, hạ sốt (30 ống x 5ml)",https://nhathuoclongchau.com.vn/thuoc/at-ibuprofen-syrup-100mg-an-thien-30-ong-x-5ml-hon-dich-uong-19822.html,A,2
"Thuốc Amisea 167mg Mediplantex hỗ trợ điều trị viêm gan mạn tính, xơ gan (6 vỉ x 10 viên)",https://nhathuoclongchau.com.vn/thuoc/amisea-167mg-mediplantex-6x10-28626.html,A,2
"Thuốc Aquima Merap hỗ trợ điều trị các triệu chứng khó tiêu, ợ nóng, đầy hơi (20 gói x 10ml)",https://nhathuoclongchau.com.vn/thuoc/aquima-merap-20-goi-x-10ml-30713.html,A,2
"Thuốc Amino XL CMPS hỗ trợ ngăn ngừa thiếu hụt protein, duy trì và cải thiện sức khỏe (3 vỉ x 10 viên)",https://nhathuoclongchau.com.vn/thuoc/amino-xl-cmps-3-x10.html,A,2
Thuốc An Vị Vinaplant TP Pharm điều trị viêm loét dạ dày - tá tràng (30 gói x 2g),https://nhathuoclongchau.com.vn/thuoc/an-vi-vinaplant-tp-pharm-30-goi.html,A,2
"Thuốc Aricicin Reliv điều trị viêm họng, viêm amidan, viêm miệng, viêm hầu (2 vỉ x 10 viên)",https://nhathuoclongchau.com.vn/thuoc/aliricin-khong-duong-reliv-2-x10.html,A,2
"Thuốc Anbaescin Phương Đông phòng và điều trị tụ máu, chống viêm, chống phù nề (3 vỉ x 10 viên)",https://nhathuoclongchau.com.vn/thuoc/anbaescin-50-mg-phuong-dong-3-x10.html,A,2
"Thuốc Abricotis Probiotec hỗ trợ sức khỏe xương, cơ bắp, bổ sung canxi (6 vỉ x 10 viên)",https://nhathuoclongchau.com.vn/thuoc/abricotis-probiotec-6-x10.html,A,2
"Thuốc Arges Sucralfate 1g An Thiên điều trị loét dạ dày - tá tràng, viêm dạ dày cấp tính (20 gói)",https://nhathuoclongchau.com.vn/thuoc/arges-sucralfate-1-g-an-thien-20-goi.html,A,2
"Dung dịch uống A.T Ascorbic Syrup 100mg bổ sung vitamin C, điều trị bệnh scorbut (30 gói x 5ml)",https://nhathuoclongchau.com.vn/thuoc/a-t-ascorbic-syrup-an-thien-30-goi-x-5-ml-dung-dich-uong.html,A,2
"Thuốc xịt mũi Adacast Meraplion điều trị viêm mũi dị ứng, sung huyết và mất mùi, viêm mũi xoang (60 liều)",https://nhathuoclongchau.com.vn/thuoc/adacast-mometasone-furoate-meraplion-60-lieu.html,A,3
"Hỗn dịch uống Antilox Plus 10g An Thiên điều trị viêm loét dạ dày, tá tràng (20 gói)",https://nhathuoclongchau.com.vn/thuoc/antilox-plus-an-thien-20-goi-x-10-g.html,A,3
Thuốc Aticolcide 4mg An Thiên điều trị hỗ trợ các co thắt gây đau trong các bệnh lý thoái hóa đốt sống (2 vỉ x 10 viên),https://nhathuoclongchau.com.vn/thuoc/aticolcide-4-mg-an-thien-2-x10.html,A,3
"Thuốc Amifull 300mg Mediplantex giúp giảm đau lưng, đau khớp, đau cơ (6 vỉ x 10 viên)",https://nhathuoclongchau.com.vn/thuoc/amifull-300-mg-mediplantex-6-x10.html,A,3
"Thuốc Anba-QE Phương Đông điều trị thiểu năng tuần hoàn, thiếu máu cơ tim, tăng huyết áp động mạch (3 vỉ x 10 viên)",https://nhathuoclongchau.com.vn/thuoc/anba-qe-phuong-dong-3-x10.html,A,3
"Thuốc Amalgel 500mg An Thiên điều trị loét dạ dày - tá tràng, tăng acid dạ dày (3 vỉ x 10 viên)",https://nhathuoclongchau.com.vn/thuoc/amalgel-500mg-an-thien-3x10-38045.html,A,3
"Dung dịch uống A.T Desloratadin 2.5mg An Thiên giảm viêm mũi dị ứng, ngứa, nổi mày đay mạn tính (60ml)",https://nhathuoclongchau.com.vn/thuoc/at-desloratadin-25mg-an-thien-hop-1-chai-x-60ml-37336.html,A,3
"Kem bôi da A.T Mometasone Furoate 0,1% An Thiên giảm viêm, ngứa ở các bệnh da (10g)",https://nhathuoclongchau.com.vn/thuoc/at-mometasone-furoate-01-an-thien-hop-1-tuyp-10g-37197.html,A,3
"Hỗn dịch uống A.T Ibuprofen Syrup 100mg An Thiên giảm đau, kháng viêm (60ml)",https://nhathuoclongchau.com.vn/thuoc/at-ibuprofen-syrup-100mg-an-thien-hop-1-chai-x-60ml-37187.html,A,3
Dung dịch uống Atiferole An Thiên điều trị thiếu sắt và thiếu máu do thiếu sắt (60ml),https://nhathuoclongchau.com.vn/thuoc/dung-dich-uong-atiferole-800mg15ml-an-thien-hop-60ml-kem-coc-dong-37067.html,A,3
"Hỗn dịch uống Apigel-Plus Apimed điều trị viêm dạ dày cấp tính - mãn tính, trào ngược dạ dày thực quản (30 gói x 1ml)",https://nhathuoclongchau.com.vn/thuoc/apigel-plus-apimed-30-goi-x-10ml-37051.html,A,3
"Dung dịch uống Atiferlit 50mg/5ml An Thiên bổ sung sắt, điều trị thiếu máu do thiếu sắt (30 ống x 10ml)",https://nhathuoclongchau.com.vn/thuoc/atiferlit-50mg5ml-an-thien-hop-30-ong-x-10ml-37030.html,A,3
Thuốc Ausmuco 750V Hataphar điều trị các bệnh mạn tính về đường hô hấp (2 vỉ x 10 viên),https://nhathuoclongchau.com.vn/thuoc/ausmuco-750v-ha-tay-hop-2-vi-x-10-vien-37012.html,A,3
"Hỗn dịch uống AtiNalox 15g An Thiên điều trị viêm loét dạ dày - tá tràng cấp, mạn tính (20 gói)",https://nhathuoclongchau.com.vn/thuoc/atinalox-an-thien-20-goi-x-15g-36535.html,A,3
Dung dịch uống Atiferole 800mg/15ml An Thiên điều trị tình trạng thiếu hụt sắt và thiếu máu,https://nhathuoclongchau.com.vn/thuoc/dung-dich-uong-atiferole-800mg15ml-an-thien-hop-30ml-kem-coc-dong-36480.html,A,3
Thuốc Auvit-B50 MEYER-BPC điều trị thiếu hụt vitamin nhóm B (3 vỉ x 10 viên),https://nhathuoclongchau.com.vn/thuoc/auvit-b50-meyer-bpc-hop-3-vi-x-10-vien-36466.html,A,3
"Dung dịch uống AtiLude 500mg/10ml An Thiên tiêu nhầy, rối loạn đường hô hấp (30 ống x 10 ml)",https://nhathuoclongchau.com.vn/thuoc/atilude-500mg10ml-an-thien-30-ong-x-10ml-36437.html,A,3
Dung dịch uống A.T Calcium Cort An Thiên bổ sung vitamin và khoáng chất cho cơ thể (30 ống x 10ml),https://nhathuoclongchau.com.vn/thuoc/at-calcium-cort-an-thien-30-ong-x-10ml-36236.html,A,3
"Thuốc cốm Agimol 325 Agimexpharm giảm đau, hạ sốt (30 gói x 1.6g)",https://nhathuoclongchau.com.vn/thuoc/thuoc-agimol-325-agimexpharm-hop-30-goi-1-6-g.html,A,3
Kem bôi da Atsirox 1% An Thiên điều trị các bệnh nhiễm nấm (15g),https://nhathuoclongchau.com.vn/thuoc/atsirox-1-an-thien-15-g.html,A,3
"Thuốc Argmagi 70 Agimexpharm hỗ trợ điều trị viêm gan mạn tính, có tác dụng lợi mật, chống oxy hóa (10 vỉ x 10 viên)",https://nhathuoclongchau.com.vn/thuoc/argmagi-70mg-agimexpharm-10x10-34150.html,A,4
Thuốc Anbaluti 330mg Phương Đông điều trị thiếu hụt carnitine nguyên phát và thứ phát (9 vỉ x 10 viên),https://nhathuoclongchau.com.vn/thuoc/anbaluti-330mg-phuong-dong-9x10-33493.html,A,4
"Thuốc An Thảo Nam Dược hỗ trợ điều trị hôi miệng, loét miệng (5 vỉ x 10 viên)",https://nhathuoclongchau.com.vn/thuoc/thao-duoc-an-thao-dac-tri-nhiet-mieng-354.html,A,4
"Thuốc Ampelop 625mg Traphaco điều trị viêm loét dạ dày, hành tá tràng (9 vỉ x 10 viên)",https://nhathuoclongchau.com.vn/thuoc/ampelop-ho-tro-dieu-tri-viem-loet-da-day-414.html,A,4
"Thuốc An Thần Bổ Tâm - F Fito dưỡng tâm, an thần (40 viên)",https://nhathuoclongchau.com.vn/thuoc/vien-uong-an-than-bo-tam-f-516.html,A,4
"Dầu gió trắng Cây Búa Axe Brand Universal Oil giảm các triệu chứng cảm lạnh, ho khan (5ml)",https://nhathuoclongchau.com.vn/thuoc/axe-brand-universal-oil-5ml-4075.html,A,4
"Dầu gió trắng Cây Búa Axe Brand Universal Oil giảm các triệu chứng cảm lạnh, ho khan (56ml)",https://nhathuoclongchau.com.vn/thuoc/axe-brand-universal-oil-56ml-4076.html,A,4
"Thuốc Azintal Forte điều trị đầy hơi, khó tiêu, chướng bụng (10 vỉ x 10 viên)",https://nhathuoclongchau.com.vn/thuoc/azintal-forte-10-x10.html,A,4
"Kem bôi da Avi-O5 Việt Phúc hỗ trợ dưỡng da, liền sẹo (10g)",https://nhathuoclongchau.com.vn/thuoc/avi-o5-4613.html,A,4
"Thuốc Antacil 250mg Thai Nakorn Patana điều trị bệnh loét dạ dày, tá tràng (25 vỉ x 10 viên)",https://nhathuoclongchau.com.vn/thuoc/antacil-4712.html,A,4
"Thuốc Alaxan United giảm các cơn đau cơ xương, nhức đầu, đau bụng kinh, nhức răng (25 vỉ x 4 viên)",https://nhathuoclongchau.com.vn/thuoc/alaxan-4826.html,A,4
Thuốc Acemol 325mg Nadyphar hạ sốt và giảm đau (40 viên),https://nhathuoclongchau.com.vn/thuoc/acemol-325mg-4885.html,A,4
Thuốc Acehasan 200 làm loãng đờm trong các bệnh phế quản - phổi cấp và mãn tính (30 gói),https://nhathuoclongchau.com.vn/thuoc/acehasan-200-4887.html,A,4
Thuốc bột Acehasan 100 Hasan làm loãng đờm trong các bệnh phế quản - phổi cấp và mãn tính (30 gói),https://nhathuoclongchau.com.vn/thuoc/acehasan-100-4888.html,A,4
Bột pha dung dịch uống ACC 200 Lindo tiêu nhầy trong bệnh phế quản-phổi cấp và mãn tính (50 gói),https://nhathuoclongchau.com.vn/thuoc/acc-200mg-4890.html,A,4
Thuốc Agiosmin Agimexpharm điều trị suy tĩnh mạch mạn tính (4 vỉ x 15 viên),https://nhathuoclongchau.com.vn/thuoc/agiosmin-agimexpharm-4x15-16513.html,A,4
"Kem trị mụn Acnes Medical Cream điều trị mụn sưng đỏ, đau (18g)",https://nhathuoclongchau.com.vn/thuoc/acnes-medical-cream-18g-mun-sung-do-va-dau-17566.html,A,4
Kem bôi da Axcel Miconazole cream điều trị nhiễm nấm ngoài da (15g),https://nhathuoclongchau.com.vn/thuoc/axcel-miconazole-cream-15gm-17839.html,A,4
"Thuốc Ambroxol 30mg Domesco điều trị viêm phế quản, hen phế quản (10 vỉ x 10 viên)",https://nhathuoclongchau.com.vn/thuoc/amboroxol-30mg-10x10-domesco-17881.html,A,4
Thuốc Altamin Bidiphar hỗ trợ điều trị suy giảm chức năng gan (10 vỉ x 10 viên),https://nhathuoclongchau.com.vn/thuoc/altamin-10x10-bidiphar-17962.html,A,4
Dung dịch uống A.T Calmax 456mg/426mg An Thiên điều trị suy nhược chức năng chuyển hóa (30 ống x 10ml),https://nhathuoclongchau.com.vn/thuoc/at-calmax-30-ong-x-10ml-456mg426mg-an-thien-18729.html,A,5
Thuốc Agirenyl 5000IU Agimexpharm phòng và điều trị thiếu vitamin A (10 vỉ x 10 viên),https://nhathuoclongchau.com.vn/thuoc/agirenyl-10x10-agimexpharm-18997.html,A,5
"Dung dịch uống A.T Ambroxol 30mg An Thiên làm loãng nhầy trong bệnh viêm phế quản, hen phế quản (30 ống x 5ml)",https://nhathuoclongchau.com.vn/thuoc/at-ambroxol-30mg-an-thien-30-ong-x-5ml-19354.html,A,5
"Siro A.T Ascorbic An Thiên bổ sung vitamin C, phòng và điều trị bệnh scorbut (30 ống x 10ml)",https://nhathuoclongchau.com.vn/thuoc/at-ascorbic-syrup-an-thien-30-ong-x-10ml-dung-dich-uong-19807.html,A,5
Hỗn dịch uống Alumag-S Agimexpharm điều trị viêm loét dạ dày tá tràng (20 gói x 15g),https://nhathuoclongchau.com.vn/thuoc/alumag-s-agimexpharm-20-goi-20757.html,A,5
"Thuốc Atiliver Diệp Hạ Châu Khang Minh hỗ trợ điều trị viêm gan, tăng men gan (10 vỉ x 10 viên)",https://nhathuoclongchau.com.vn/thuoc/atiliver-800mg-khang-minh-10x10-21195.html,A,5
Thuốc Adazol 400mg Dược 3-2 điều trị nhiễm ký sinh trùng đường ruột (1 vỉ x 1 viên),https://nhathuoclongchau.com.vn/thuoc/adazol-400mg-ft-1x1-21507.html,A,5
"Thuốc ADKold-New For Children 1.5g Pharbaco giảm các bệnh hô hấp, cảm lạnh, cảm cúm (10 gói)",https://nhathuoclongchau.com.vn/thuoc/adkold-new-phenylephrin-triprolidin-tw1-10-goi-22446.html,A,5
"Thuốc bột Amucopect-New For Children Pharbaco hương cam giúp loãng đờm, tan đờm (10 gói x 1.5g)",https://nhathuoclongchau.com.vn/thuoc/amucopect-new-for-children-tw1-10-goi-x-15g-22525.html,A,5
Dung dịch uống A.T Calmax 500 An Thiên bổ sung canxi (30 ống x 10ml),https://nhathuoclongchau.com.vn/thuoc/at-calmax-500-an-thien-pharma-27967.html,A,5
Thuốc Avarino 300mg Mega Lifesciences điều trị rối loạn tiêu hoá (5 vỉ x 10 viên),https://nhathuoclongchau.com.vn/thuoc/avarino-300-mega-5x10-28348.html,A,5
Thuốc Aleucin 500mg Bidiphar điều trị các cơn chóng mặt (3 vỉ x 10 viên),https://nhathuoclongchau.com.vn/thuoc/aleucin-500mg-binh-dinh-3x10-28925.html,A,5
"Thuốc Asakoya 100mg Mediplantex giảm đau, làm dịu thần kinh (3 vỉ x 10 viên)",https://nhathuoclongchau.com.vn/thuoc/asakoya-3x10-mediplantex-28989.html,A,5
Viên sủi Abbsin 600 tiêu chất nhày trong bệnh lý hô hấp có đờm nhày quánh (20 viên),https://nhathuoclongchau.com.vn/thuoc/abbsin-600-pharmaestica-20v-29002.html,A,5
"Thuốc Alfokid Syrup Kolmar điều trị giảm ho do viêm phế quản mạn tính, viêm đường hô hấp (20 túi)",https://nhathuoclongchau.com.vn/thuoc/alfokid-syrup-tui-01g-29631.html,A,5
"Thuốc Alphavimin 10ml Hadiphar bổ sung vitamin trong thời kỳ dưỡng bệnh, chế độ ăn đặc biệt (20 ống)",https://nhathuoclongchau.com.vn/thuoc/alphavimin-duoc-ha-tinh-20-ong-x-10ml-29854.html,A,5
Thuốc cốm Acetylcystein EG 200mg Pymepharco tiêu nhầy trong bệnh viêm phế quản (30 gói x 2g),https://nhathuoclongchau.com.vn/thuoc/acetylcystein-eg-200mg-pymepharco-30-goi-x-2g-30752.html,A,5
Thuốc Agi-Bromhexine Agimexpharm giúp làm loãng đờm trong các bệnh phế quản phổi cấp và mạn tính (30ml),https://nhathuoclongchau.com.vn/thuoc/agi-bromhexine-30ml-30830.html,A,5
Thuốc A.T Domperidon 5mg An Thiên điều trị các trường hợp buồn nôn và nôn (30 ống),https://nhathuoclongchau.com.vn/thuoc/a-t-domperidon-5-mg-an-thien-30-ong.html,A,5
"Thuốc bột Acecyst 200mg Agimexpharm giảm long đờm, làm dịu cơn ho (30 gói x 1.6g)",https://nhathuoclongchau.com.vn/thuoc/acecyst-200-mg-agimexpharm-30-goi-x-1-6-g.html,A,5
"Dung dịch uống Acetuss Hà Nam tiêu nhầy trong bệnh viêm phế quản, bệnh nhầy nhớt (20 ống)",https://nhathuoclongchau.com.vn/thuoc/dung-dich-uong-acetuss-10ml-vtyt-ha-nam-hop-20-ong-37265.html,A,6
"Dung dịch uống AntiClor 2mg An Thiên điều trị viêm mũi, viêm kết mạc, mề đay (30 gói x 5ml)",https://nhathuoclongchau.com.vn/thuoc/anticlor-2mg-an-thien-30-goi-x-5ml-36923.html,A,6
"Thuốc bột uống Acegoi Agimexpharm điều trị nóng, ho, sổ mũi, nghẹt mũi, nhức đầu (30 gói x 3g)",https://nhathuoclongchau.com.vn/thuoc/acegoi-agimexpharm-30-goi-x-3g-35411.html,A,6
"Thuốc Antesik Mediplantex điều trị viêm đại tràng, chữa ỉa chảy, lỵ, rối loạn tiêu hóa (10 vỉ x 4 viên)",https://nhathuoclongchau.com.vn/thuoc/antesik-mediplantex-10x4-32899.html,A,6
Thuốc Arcalion 200 Servier điều trị các giai đoạn mệt mỏi tạm thời (30 viên),https://nhathuoclongchau.com.vn/thuoc/arcalion-200-4693.html,A,6
"Thuốc Allerfar Pharmedic điều trị viêm mũi dị ứng, các triệu chứng dị ứng (10 vỉ x 20 viên)",https://nhathuoclongchau.com.vn/thuoc/allerfar-4mg-4807.html,A,6
Viên nhai Air-X hương bạc hà chống đầy hơi và chướng bụng (10 vỉ x 10 viên),https://nhathuoclongchau.com.vn/thuoc/air-x-bac-ha-rx-10x10-4837.html,A,6
Thuốc Acnekyn 500mg Đông Nam điều trị các chứng đau và sốt từ nhẹ đến vừ (10 vỉ x 10 viên),https://nhathuoclongchau.com.vn/thuoc/acnekyn-500-4873.html,A,6
"Thuốc Acetylcystein 200mg Vidipha tiêu nhầy trong bệnh viêm phế quản, bệnh nhầy nhớt (20 vỉ x 10 viên)",https://nhathuoclongchau.com.vn/thuoc/acetylcystein-200mg-vidipha-20x10-19880.html,A,6
"Thuốc Agifivit Agimexpharm phòng và điều trị bệnh thiếu máu do thiếu sắt, thiếu acid folie (10 vỉ x 10 viên)",https://nhathuoclongchau.com.vn/thuoc/agifivit-200mg-agimex-10x10-20617.html,A,6
Dung dịch uống AntiClor 2mg An Thiên điều trị các triệu chứng dị ứng (30 ống x 5ml),https://nhathuoclongchau.com.vn/thuoc/anticlor-2mg-an-thien-30-ong-x5ml-21194.html,A,6
"Thuốc Acecyst 200mg Agimexpharm long đờm, thông đường hô hấp trong viêm phế quản (10 vỉ x 10 viên)",https://nhathuoclongchau.com.vn/thuoc/acecyst-200mg-agimexpharm-10x10-22097.html,A,6
Dung dịch uống A.T Calci Plus An Thiên hương cam cung cấp canxi cho cơ thể (30 ống x 10ml),https://nhathuoclongchau.com.vn/thuoc/at-calci-plus-an-thien-30-ong-x-10ml-huong-cam-22335.html,A,6
"Thuốc Andol S Imexpharm điều trị các triệu chứng cảm sốt, nhức đầu (25 vỉ x 20 viên)",https://nhathuoclongchau.com.vn/thuoc/andol-s-imexpharm-25x20-28036.html,A,6
"Thuốc Agi-calci Agimexpharm bổ sung calci, phòng và điều trị loãng xương (20 vỉ x 10 viên)",https://nhathuoclongchau.com.vn/thuoc/agi-calci-agimexpharm-20x10-28037.html,A,6
"Thuốc A.T Loratadin 10 điều trị viêm mũi dị ứng, viêm kết mạc dị ứng (10 vỉ x 10 viên)",https://nhathuoclongchau.com.vn/thuoc/at-loratadin-10mg-an-thien-10x10-28594.html,A,6
Siro Abrocto Dược Hà Tĩnh điều trị một số bệnh lý đường hô hấp (20 ống x 10ml),https://nhathuoclongchau.com.vn/thuoc/abrocto-duoc-ha-tinh-20-ong-x-10ml-29812.html,A,6
"Thuốc Agimfast 180 Agimexpharm điều trị viêm mũi dị ứng, mày đay mạn tính vô căn (2 vỉ x 10 viên)",https://nhathuoclongchau.com.vn/thuoc/agimfast-180mg-agimexpharm-2x10-30361.html,A,6
"Hỗn dịch uống A.T Fexofenadin 30mg/5ml An Thiên điều trị viêm mũi dị ứng, mày đay mạn tính vô căn (30 gói x 5ml)",https://nhathuoclongchau.com.vn/thuoc/at-fexofenadin-30mg5ml-an-thien-30-goi-x-5ml-30518.html,A,6
"Dung dịch uống Aticizal 5mg/10ml An Thiên điều trị viêm mũi dị ứng, mày đay (30 ống x 10ml)",https://nhathuoclongchau.com.vn/thuoc/aticizal-5mg10ml-an-thien-30-ong-x-10ml-dung-dich-uong-30548.html,A,6
"Thuốc Acetylcystein 200mg Khapharco tiêu nhầy trong bệnh viêm phế quản, bệnh nhầy nhớt (10 vỉ x 10 viên)",https://nhathuoclongchau.com.vn/thuoc/acetylcystein-200mg-khapharco-10x10-30627.html,A,7
"Kem bôi da A.T Urea 20% An Thiên điều trị nứt nẻ tay chân, bệnh vảy cá (20g)",https://nhathuoclongchau.com.vn/thuoc/a-t-urea-20-an-thien-20-g-1.html,A,7
Thuốc Ausbiobone Biopharm điều trị triệu chứng thoái hóa khớp gối nhẹ và trung bình (60 viên),https://nhathuoclongchau.com.vn/thuoc/ausbiobone-4623.html,A,7
"Thuốc Aleradin 5mg giảm các triệu chứng viêm mũi dị ứng theo mùa, mày đay (3 vỉ x 10 viên)",https://nhathuoclongchau.com.vn/thuoc/aleradin-5mg-4809.html,A,7
Thuốc Anbach Tablet Hanbul Pharm điều trị rối loạn tuần hoàn ngoại biên (10 vỉ x 10 viên),https://nhathuoclongchau.com.vn/thuoc/anbach-10x10-tablet-hanbul-14869.html,A,7
Thuốc Argide 5ml Usa - Nic Pharma đặc trị bệnh viêm gan (20 ống),https://nhathuoclongchau.com.vn/thuoc/argide-20-ong-15303.html,A,7
Thuốc Aginfolix 5 Agimexpharm phòng và trị thiếu acid folic (10 vỉ x 10 viên),https://nhathuoclongchau.com.vn/thuoc/aginfolix-5-agimex-10x10-19524.html,A,7
"Hỗn dịch thuốc A.T Alugela An Thiên điều trị viêm thực quản, viêm dạ dày cấp và mạn tính (26 gói x 20g)",https://nhathuoclongchau.com.vn/thuoc/at-alugela-an-thien-26-goi-x-20g-30289.html,A,7
